transaction_id,invoice_id,payment_amount,payment_delay_days
TXN_0075,INV_0075,99683.55,-5
TXN_0076,INV_0076,7467.27,40
TXN_0077,INV_0077,38411.03,1
TXN_0078,INV_0078,95232.74,-1
TXN_0079,INV_0079,59643.33,1
TXN_0080,INV_0080,73145.81,45
TXN_0081,INV_0081,106038.78,35
TXN_0082,INV_0082,96103.6,-1
TXN_0083,INV_0083,42114.12,827
TXN_0084,INV_0084,143615.39,15
TXN_0085,INV_0085,87920.43,-5
TXN_0086,INV_0086,79443.15,14
TXN_0087,INV_0087,141774.29,-3
TXN_0088,INV_0088,62281.32,49
TXN_0089,INV_0089,43950.39,2
TXN_0091,INV_0091,102708.44,43
TXN_0092,INV_0092,13567.84,-3
TXN_0093,INV_0093,76233.08,-4
TXN_0094,INV_0094,106780.38,3
TXN_0095,INV_0095,11928.53,56
TXN_0096,INV_0096,56463.81,5
TXN_0097,INV_0097,44102.72,770
TXN_0098,INV_0098,60483.25,1
TXN_0099,INV_0099,142679.76,25
TXN_0100,INV_0100,32652.85,46
TXN_0101,INV_0101,15055.85,-2
TXN_0102,INV_0102,116862.54,-4
TXN_0103,INV_0103,133211.36,52
TXN_0104,INV_0104,40902.07,-2
TXN_0105,INV_0105,64103.9,0
TXN_0106,INV_0106,75371.23,-4
TXN_0107,INV_0107,20635.33,32
TXN_0108,INV_0108,147305.75,-4
TXN_0109,INV_0109,139302.03,4
TXN_0110,INV_0110,57709.16,-3
TXN_0111,INV_0111,129300.92,-3
TXN_0112,INV_0112,42566.32,37
TXN_0113,INV_0113,108787.82,-5
TXN_0114,INV_0114,146667.83,5
TXN_0115,INV_0115,75845.05,-3
TXN_0116,INV_0116,140484.33,-3
TXN_0117,INV_0117,113062.67,3
TXN_0118,INV_0118,20592.6,312
TXN_0119,INV_0119,119931.37,56
TXN_0120,INV_0120,142616.79,1
TXN_0121,INV_0121,77234.59,-2
TXN_0122,INV_0122,36835.51,3
TXN_0123,INV_0123,97684.95,20
TXN_0124,INV_0124,115924.27,51
TXN_0125,INV_0125,148603.99,-4
TXN_0126,INV_0126,60540.82,-2
TXN_0127,INV_0127,28452.16,-2
TXN_0128,INV_0128,113935.42,2
TXN_0129,INV_0129,18164.55,45
TXN_0130,INV_0130,115161.37,-1
TXN_0131,INV_0131,81239.88,3
TXN_0132,INV_0132,97044.89,4
TXN_0133,INV_0133,147337.85,5
TXN_0134,INV_0134,149809.13,5
TXN_0135,INV_0135,71073.14,3
TXN_0136,INV_0136,123996.88,-3
TXN_0137,INV_0137,119306.85,-5
TXN_0138,INV_0138,122784.01,3
TXN_0139,INV_0139,110822.74,4
TXN_0140,INV_0140,14652.59,48
TXN_0141,INV_0141,89190.4,5
TXN_0142,INV_0142,73695.44,4
TXN_0143,INV_0143,56038.15,0
TXN_0144,INV_0144,117008.74,5
TXN_0145,INV_0145,87683.49,52
TXN_0146,INV_0146,145528.85,3
TXN_0147,INV_0147,56297.86,0
TXN_0148,INV_0148,43963.5,-2
TXN_0149,INV_0149,609.89,239
TXN_0150,INV_0150,96928.57,-2
TXN_0151,INV_0151,76368.07,5
TXN_0152,INV_0152,15417.47,-3
TXN_0153,INV_0153,20224.64,1
TXN_0154,INV_0154,63698.7,-1
TXN_0155,INV_0155,98664.63,27
TXN_0156,INV_0156,124240.83,2
TXN_0157,INV_0157,99312.54,-2
TXN_0158,INV_0158,127680.21,5
TXN_0159,INV_0159,113684.25,-1
TXN_0160,INV_0160,9919.74,421
TXN_0162,INV_0162,73719.75,1
TXN_0163,INV_0163,78575.98,31
TXN_0164,INV_0164,51946.39,-2
TXN_0165,INV_0165,41846.95,3
TXN_0166,INV_0166,71001.98,-3
TXN_0167,INV_0167,55782.67,58
TXN_0168,INV_0168,49687.21,849
TXN_0169,INV_0169,137007.95,0
TXN_0170,INV_0170,149698.54,0
TXN_0171,INV_0171,22431.53,0
TXN_0172,INV_0172,33547.28,0
TXN_0173,INV_0173,108094.02,4
TXN_0174,INV_0174,37793.78,-5
TXN_0175,INV_0175,130993.06,3
TXN_0176,INV_0176,143455.09,36
TXN_0177,INV_0177,63126.89,4
TXN_0178,INV_0178,61355.27,40
TXN_0179,INV_0179,121455.02,5
TXN_0181,INV_0181,33838.04,0
TXN_0182,INV_0182,89492.33,-5
TXN_0183,INV_0183,25825.2,1037
TXN_0184,INV_0184,83785.44,-1
TXN_0185,INV_0185,128966.04,0
TXN_0186,INV_0186,127501.38,2
TXN_0187,INV_0187,27747.09,3
TXN_0188,INV_0188,32105.26,-5
TXN_0189,INV_0189,72448.88,23
TXN_0190,INV_0190,146117.06,4
TXN_0191,INV_0191,118776.21,-4
TXN_0192,INV_0192,12276.94,3
TXN_0193,INV_0193,82435.35,1
TXN_0194,INV_0194,134614.98,34
TXN_0195,INV_0195,75550.16,2
TXN_0196,INV_0196,78261.57,1
TXN_0197,INV_0197,75146.05,2
TXN_0199,INV_0199,86380.57,-2
TXN_0200,INV_0200,60343.65,-4
TXN_0201,INV_0201,8519.7,51
TXN_0202,INV_0202,17800.31,-2
TXN_0203,INV_0203,32666.04,3
TXN_0205,INV_0205,146444.14,1
TXN_0206,INV_0206,26948.65,3
TXN_0207,INV_0207,73604.59,-4
TXN_0208,INV_0208,110397.12,0
TXN_0209,INV_0209,89079.66,27
TXN_0210,INV_0210,65081.28,-5
TXN_0211,INV_0211,30384.74,53
TXN_0212,INV_0212,26598.81,-4
TXN_0213,INV_0213,67875.22,-3
TXN_0214,INV_0214,38255.84,3
TXN_0215,INV_0215,47428.21,2
TXN_0216,INV_0216,96498.77,4
TXN_0217,INV_0217,126865.46,4
TXN_0218,INV_0218,72556.68,13
TXN_0219,INV_0219,70262.57,-3
TXN_0220,INV_0220,66291.41,-1
TXN_0221,INV_0221,115084.64,3
TXN_0222,INV_0222,8076.34,-3
TXN_0223,INV_0223,70759.72,-4
TXN_0224,INV_0224,100435.03,-2
TXN_0225,INV_0225,73012.17,16
TXN_0226,INV_0226,111122.45,-4
TXN_0227,INV_0227,92142.36,0
TXN_0228,INV_0228,144450.44,19
TXN_0229,INV_0229,25317.09,4
TXN_0230,INV_0230,11047.72,2
TXN_0231,INV_0231,13981.61,0
TXN_0232,INV_0232,67927.24,5
TXN_0233,INV_0233,126101.5,17
TXN_0234,INV_0234,83083.95,-2
TXN_0235,INV_0235,115092.84,1
TXN_0236,INV_0236,96959.13,15
TXN_0237,INV_0237,103879.47,5
TXN_0238,INV_0238,131418.27,4
TXN_0239,INV_0239,110831.88,4
TXN_0240,INV_0240,95519.95,60
TXN_0241,INV_0241,93048.95,30
TXN_0242,INV_0242,47052.12,14
TXN_0243,INV_0243,83718.57,0
TXN_0244,INV_0244,99204.95,-3
TXN_0245,INV_0245,106695.31,4
TXN_0246,INV_0246,118436.73,-5
TXN_0247,INV_0247,119724.5,-5
TXN_0248,INV_0248,145261.93,17
TXN_0249,INV_0249,76789.93,45
TXN_0250,INV_0250,147926.48,2
TXN_0251,INV_0251,121171.43,-1
TXN_0252,INV_0252,58272.71,4
TXN_0253,INV_0253,5959.57,-3
TXN_0254,INV_0254,128727.95,43
TXN_0255,INV_0255,38748.11,-1
TXN_0256,INV_0256,25214.6,4
TXN_0257,INV_0257,99702.17,-5
TXN_0258,INV_0258,148042.99,5
TXN_0259,INV_0259,73933.03,2
TXN_0260,INV_0260,67588.78,1
TXN_0261,INV_0261,116062.63,-3
TXN_0262,INV_0262,39986.12,-4
TXN_0263,INV_0263,140245.35,19
TXN_0264,INV_0264,4139.93,595
TXN_0265,INV_0265,123537.78,3
TXN_0266,INV_0266,117295.36,4
TXN_0267,INV_0267,56473.49,3
TXN_0268,INV_0268,84937.42,49
TXN_0269,INV_0269,23094.36,2
TXN_0270,INV_0270,114250.86,45
TXN_0271,INV_0271,139876.82,-1
TXN_0272,INV_0272,114237.56,-5
TXN_0273,INV_0273,22007.26,464
TXN_0274,INV_0274,134703.01,-2
TXN_0275,INV_0275,57752.59,3
TXN_0276,INV_0276,53760.86,27
TXN_0277,INV_0277,146190.93,-3
TXN_0278,INV_0278,12558.66,1
TXN_0279,INV_0279,40693.36,3
TXN_0280,INV_0280,46416.58,4
TXN_0281,INV_0281,131913.33,0
TXN_0282,INV_0282,98552.27,0
TXN_0283,INV_0283,57027.41,16
TXN_0284,INV_0284,107374.44,-1
TXN_0285,INV_0285,66789.78,4
TXN_0286,INV_0286,8470.57,-3
TXN_0287,INV_0287,66493.56,-5
TXN_0288,INV_0288,15389.53,31
TXN_0289,INV_0289,106611.99,26
TXN_0290,INV_0290,120257.0,-5
TXN_0291,INV_0291,93535.82,20
TXN_0292,INV_0292,122523.01,22
TXN_0293,INV_0293,137501.36,3
TXN_0295,INV_0295,44140.88,5
TXN_0296,INV_0296,100696.5,1
TXN_0297,INV_0297,40865.53,3
TXN_0298,INV_0298,111416.01,-5
TXN_0299,INV_0299,102959.63,3
TXN_0300,INV_0300,85504.09,-2
TXN_0301,INV_0301,6892.36,608
TXN_0302,INV_0302,120663.19,33
TXN_0303,INV_0303,44511.47,1076
TXN_0304,INV_0304,41756.88,5
TXN_0307,INV_0307,97722.16,-5
TXN_0308,INV_0308,3379.5,308
TXN_0309,INV_0309,8948.51,103
TXN_0310,INV_0310,76962.24,-5
TXN_0311,INV_0311,95871.56,-4
TXN_0312,INV_0312,9359.7,57
TXN_0313,INV_0313,100417.6,5
TXN_0314,INV_0314,72717.0,-4
TXN_0315,INV_0315,79317.81,4
TXN_0316,INV_0316,145640.45,1
TXN_0317,INV_0317,40031.93,3
TXN_0318,INV_0318,60582.95,5
TXN_0319,INV_0319,149319.29,-4
TXN_0320,INV_0320,84539.65,-4
TXN_0322,INV_0322,74879.45,4
TXN_0323,INV_0323,96589.92,3
TXN_0324,INV_0324,53600.51,-5
TXN_0325,INV_0325,65448.4,-3
TXN_0326,INV_0326,99673.99,-1
TXN_0327,INV_0327,4456.54,993
TXN_0328,INV_0328,64352.25,1
TXN_0329,INV_0329,59618.16,2
TXN_0330,INV_0330,83228.06,3
TXN_0331,INV_0331,129108.75,-4
TXN_0332,INV_0332,66189.82,31
TXN_0333,INV_0333,18591.81,5
TXN_0334,INV_0334,114902.81,-2
TXN_0335,INV_0335,118990.56,1
TXN_0336,INV_0336,136438.48,13
TXN_0337,INV_0337,18224.43,-3
TXN_0338,INV_0338,26694.63,3
TXN_0339,INV_0339,117633.07,-4
TXN_0340,INV_0340,57594.61,5
TXN_0341,INV_0341,40837.02,10
TXN_0342,INV_0342,65630.2,4
TXN_0343,INV_0343,110039.07,-5
TXN_0344,INV_0344,91876.76,0
TXN_0345,INV_0345,13031.38,-5
TXN_0346,INV_0346,90280.82,3
TXN_0347,INV_0347,103287.93,44
TXN_0348,INV_0348,104085.68,-1
TXN_0349,INV_0349,104654.78,-3
TXN_0350,INV_0350,82212.14,36
TXN_0351,INV_0351,33366.3,-1
TXN_0352,INV_0352,31634.4,769
TXN_0353,INV_0353,8210.57,1
TXN_0354,INV_0354,92497.04,4
TXN_0355,INV_0355,5088.89,-2
TXN_0356,INV_0356,80431.88,32
TXN_0357,INV_0357,141466.52,-5
TXN_0358,INV_0358,81875.53,8
TXN_0359,INV_0359,8604.92,1
TXN_0360,INV_0360,139923.72,2
TXN_0361,INV_0361,9398.38,1003
TXN_0362,INV_0362,112002.67,2
TXN_0363,INV_0363,99256.34,4
TXN_0364,INV_0364,111810.48,-2
TXN_0365,INV_0365,48402.2,-2
TXN_0366,INV_0366,63863.7,-2
TXN_0367,INV_0367,118406.52,0
TXN_0368,INV_0368,99272.18,-1
TXN_0369,INV_0369,137267.51,5
TXN_0370,INV_0370,67536.4,-4
TXN_0371,INV_0371,81802.99,13
TXN_0372,INV_0372,89805.52,2
TXN_0373,INV_0373,111122.94,1
TXN_0375,INV_0375,51768.49,-1
TXN_0376,INV_0376,13052.93,56
TXN_0377,INV_0377,149000.17,-5
TXN_0378,INV_0378,107291.07,1
TXN_0379,INV_0379,74584.1,58
TXN_0380,INV_0380,134249.77,3
TXN_0381,INV_0381,143903.59,5
TXN_0382,INV_0382,120706.22,44
TXN_0383,INV_0383,14340.11,1
TXN_0384,INV_0384,38564.73,4
TXN_0385,INV_0385,7656.27,4
TXN_0386,INV_0386,81321.34,4
TXN_0387,INV_0387,108141.29,53
TXN_0388,INV_0388,7346.25,-2
TXN_0389,INV_0389,69675.28,30
TXN_0390,INV_0390,104005.44,26
TXN_0391,INV_0391,70665.22,-5
TXN_0392,INV_0392,24471.18,9
TXN_0393,INV_0393,102979.61,2
TXN_0394,INV_0394,72529.5,1
TXN_0395,INV_0395,131357.47,4
TXN_0396,INV_0396,17092.21,24
TXN_0397,INV_0397,99533.19,11
TXN_0398,INV_0398,62727.31,-1
TXN_0400,INV_0400,145255.46,4
TXN_0401,INV_0401,105423.77,2
TXN_0402,INV_0402,139698.34,-1
TXN_0403,INV_0403,129253.14,47
TXN_0404,INV_0404,124529.39,3
TXN_0406,INV_0406,70398.09,-3
TXN_0407,INV_0407,9094.47,943
TXN_0408,INV_0408,88918.49,2
TXN_0409,INV_0409,148518.5,2
TXN_0410,INV_0410,10625.2,-1
TXN_0411,INV_0411,108359.87,-5
TXN_0412,INV_0412,83373.66,4
TXN_0413,INV_0413,140645.18,2
TXN_0414,INV_0414,104498.58,0
TXN_0415,INV_0415,92966.13,-1
TXN_0416,INV_0416,117218.36,5
TXN_0417,INV_0417,18826.7,5
TXN_0418,INV_0418,56773.34,42
TXN_0419,INV_0419,138083.29,0
TXN_0420,INV_0420,128268.35,-3
TXN_0421,INV_0421,107578.01,4
TXN_0422,INV_0422,129353.5,-1
TXN_0423,INV_0423,12180.82,3
TXN_0425,INV_0425,23596.79,1
TXN_0426,INV_0426,44142.64,-2
TXN_0427,INV_0427,99131.56,50
TXN_0428,INV_0428,90078.96,4
TXN_0429,INV_0429,130973.46,-4
TXN_0430,INV_0430,86291.08,-5
TXN_0431,INV_0431,98588.39,3
TXN_0432,INV_0432,4437.48,403
TXN_0433,INV_0433,111377.55,0
TXN_0434,INV_0434,31674.78,4
TXN_0435,INV_0435,107473.6,12
TXN_0436,INV_0436,27273.49,1
TXN_0437,INV_0437,140928.41,4
TXN_0438,INV_0438,96179.89,0
TXN_0439,INV_0439,82961.57,0
TXN_0440,INV_0440,60863.88,31
TXN_0441,INV_0441,14079.44,898
TXN_0442,INV_0442,100425.36,2
TXN_0443,INV_0443,7684.82,0
TXN_0444,INV_0444,68601.9,-3
TXN_0446,INV_0446,115397.21,-1
TXN_0447,INV_0447,146895.74,1
TXN_0448,INV_0448,60368.52,3
TXN_0449,INV_0449,79913.87,-2
TXN_0450,INV_0450,127980.89,30
TXN_0451,INV_0451,71480.23,5
TXN_0452,INV_0452,109496.1,29
TXN_0453,INV_0453,139357.69,5
TXN_0454,INV_0454,18823.51,4
TXN_0455,INV_0455,27033.6,4
TXN_0456,INV_0456,115393.36,54
TXN_0457,INV_0457,49269.86,31
TXN_0458,INV_0458,148206.36,-1
TXN_0459,INV_0459,50726.91,1
TXN_0460,INV_0460,77577.39,42
TXN_0461,INV_0461,69262.73,5
TXN_0462,INV_0462,135866.34,4
TXN_0463,INV_0463,18072.01,52
TXN_0464,INV_0464,65783.57,15
TXN_0465,INV_0465,106822.64,-3
TXN_0467,INV_0467,13489.69,39
TXN_0468,INV_0468,143163.42,5
TXN_0469,INV_0469,28562.03,-4
TXN_0470,INV_0470,33665.0,52
TXN_0471,INV_0471,55477.93,-5
TXN_0472,INV_0472,63746.45,2
TXN_0474,INV_0474,33475.85,43
TXN_0475,INV_0475,9882.69,488
TXN_0476,INV_0476,123076.9,3
TXN_0478,INV_0478,122387.84,-4
TXN_0479,INV_0479,147193.58,-3
TXN_0480,INV_0480,49401.76,1
TXN_0481,INV_0481,145126.68,-1
TXN_0482,INV_0482,88962.64,3
TXN_0483,INV_0483,83197.63,2
TXN_0484,INV_0484,92836.97,5
TXN_0485,INV_0485,83889.5,3
TXN_0486,INV_0486,109129.72,-5
TXN_0487,INV_0487,14451.79,0
TXN_0488,INV_0488,79715.53,-3
TXN_0489,INV_0489,67867.67,-2
TXN_0490,INV_0490,47724.52,5
TXN_0491,INV_0491,20082.45,-4
TXN_0492,INV_0492,34910.86,2
TXN_0493,INV_0493,120417.93,26
TXN_0494,INV_0494,30415.67,357
TXN_0495,INV_0495,116619.24,-3
TXN_0496,INV_0496,33600.2,-5
TXN_0497,INV_0497,15672.66,59
TXN_0498,INV_0498,60999.87,-4
TXN_0499,INV_0499,112448.55,-1
TXN_0500,INV_0500,127088.63,54
TXN_0501,INV_0501,139415.53,30
TXN_0502,INV_0502,90170.47,55
TXN_0503,INV_0503,69993.04,-3
TXN_0504,INV_0504,22505.78,-2
TXN_0505,INV_0505,36367.59,2
TXN_0506,INV_0506,37104.53,1
TXN_0507,INV_0507,2825.17,791
TXN_0508,INV_0508,41962.51,3
TXN_0509,INV_0509,96174.35,1
TXN_0510,INV_0510,69666.04,33
TXN_0511,INV_0511,95040.17,23
TXN_0512,INV_0512,22159.44,43
TXN_0513,INV_0513,37848.62,0
TXN_0514,INV_0514,148793.39,39
TXN_0515,INV_0515,72966.04,2
TXN_0516,INV_0516,5157.97,4
TXN_0517,INV_0517,40126.58,-4
TXN_0518,INV_0518,98822.25,-2
TXN_0519,INV_0519,34073.14,27
TXN_0520,INV_0520,77967.93,-4
TXN_0521,INV_0521,24038.51,0
TXN_0522,INV_0522,142645.89,-4
TXN_0523,INV_0523,11614.63,45
TXN_0524,INV_0524,43664.82,53
TXN_0525,INV_0525,8984.4,55
TXN_0526,INV_0526,144265.07,1
TXN_0527,INV_0527,77742.02,-5
TXN_0528,INV_0528,98634.66,3
TXN_0529,INV_0529,123996.92,2
TXN_0530,INV_0530,110528.16,-1
TXN_0531,INV_0531,93730.41,-2
TXN_0532,INV_0532,114801.22,-5
TXN_0533,INV_0533,58934.21,4
TXN_0534,INV_0534,53279.88,-3
TXN_0535,INV_0535,5763.57,31
TXN_0536,INV_0536,94137.58,31
TXN_0537,INV_0537,42269.2,2
TXN_0538,INV_0538,80655.7,-1
TXN_0539,INV_0539,112650.31,0
TXN_0540,INV_0540,123486.32,2
TXN_0541,INV_0541,70259.88,3
TXN_0542,INV_0542,40517.7,2
TXN_0543,INV_0543,142749.6,-4
TXN_0545,INV_0545,878.89,880
TXN_0546,INV_0546,18551.06,-1
TXN_0547,INV_0547,52795.0,-4
TXN_0548,INV_0548,69139.13,-2
TXN_0549,INV_0549,93716.66,-4
TXN_0550,INV_0550,102812.06,-5
TXN_0551,INV_0551,47812.46,-1
TXN_0552,INV_0552,60434.77,3
TXN_0553,INV_0553,57068.91,2
TXN_0554,INV_0554,85039.36,5
TXN_0555,INV_0555,116525.11,-1
TXN_0556,INV_0556,8170.92,28
TXN_0557,INV_0557,7027.21,542
TXN_0558,INV_0558,26862.45,31
TXN_0559,INV_0559,11600.98,5
TXN_0560,INV_0560,119592.4,-4
TXN_0561,INV_0561,123906.04,5
TXN_0562,INV_0562,132700.21,-4
TXN_0563,INV_0563,23612.34,1041
TXN_0565,INV_0565,121607.75,2
TXN_0566,INV_0566,61394.69,0
TXN_0567,INV_0567,22992.69,4
TXN_0568,INV_0568,55854.93,0
TXN_0569,INV_0569,27894.12,24
TXN_0570,INV_0570,95853.77,2
TXN_0571,INV_0571,113168.57,-4
TXN_0572,INV_0572,80720.69,4
TXN_0573,INV_0573,103104.51,-1
TXN_0574,INV_0574,73933.61,-4
TXN_0575,INV_0575,101554.16,3
TXN_0576,INV_0576,123417.82,-3
TXN_0577,INV_0577,73167.16,4
TXN_0578,INV_0578,63745.98,36
TXN_0579,INV_0579,63170.04,-4
TXN_0580,INV_0580,11884.9,3
TXN_0581,INV_0581,66679.18,-5
TXN_0582,INV_0582,84825.03,2
TXN_0583,INV_0583,24932.94,855
TXN_0584,INV_0584,42480.14,4
TXN_0585,INV_0585,99647.33,20
TXN_0586,INV_0586,123930.66,3
TXN_0587,INV_0587,47911.77,-4
TXN_0588,INV_0588,25483.4,-5
TXN_0589,INV_0589,32135.32,0
TXN_0590,INV_0590,67473.72,-3
TXN_0591,INV_0591,133594.65,2
TXN_0592,INV_0592,7859.46,358
TXN_0593,INV_0593,33663.99,-4
TXN_0594,INV_0594,136762.43,5
TXN_0595,INV_0595,71217.07,-1
TXN_0596,INV_0596,117024.03,-5
TXN_0597,INV_0597,68643.8,-4
TXN_0598,INV_0598,96942.44,-2
TXN_0599,INV_0599,66595.66,5
TXN_0600,INV_0600,118494.76,3
TXN_0601,INV_0601,7921.02,3
TXN_0602,INV_0602,97896.32,14
TXN_0603,INV_0603,5584.01,48
TXN_0604,INV_0604,127954.45,-3
TXN_0605,INV_0605,76569.71,-4
TXN_0606,INV_0606,107773.39,2
TXN_0607,INV_0607,44010.95,0
TXN_0608,INV_0608,63130.7,-3
TXN_0609,INV_0609,104864.4,-3
TXN_0610,INV_0610,5419.58,35
TXN_0611,INV_0611,20815.3,0
TXN_0612,INV_0612,136405.72,-4
TXN_0613,INV_0613,48119.55,7
TXN_0614,INV_0614,18011.17,-4
TXN_0615,INV_0615,73586.6,-4
TXN_0616,INV_0616,12958.15,-1
TXN_0617,INV_0617,18197.76,2
TXN_0618,INV_0618,33710.21,-5
TXN_0619,INV_0619,7639.85,-2
TXN_0620,INV_0620,100614.65,-3
TXN_0621,INV_0621,100433.15,2
TXN_0622,INV_0622,96156.98,4
TXN_0623,INV_0623,5288.36,4
TXN_0624,INV_0624,34750.17,0
TXN_0625,INV_0625,86464.85,39
TXN_0626,INV_0626,79074.77,0
TXN_0627,INV_0627,8612.86,387
TXN_0629,INV_0629,40058.11,4
TXN_0630,INV_0630,68714.23,-5
TXN_0631,INV_0631,142890.42,5
TXN_0632,INV_0632,27649.45,-4
TXN_0633,INV_0633,144606.26,-3
TXN_0634,INV_0634,48860.12,-2
TXN_0635,INV_0635,108252.09,3
TXN_0636,INV_0636,96257.84,-3
TXN_0637,INV_0637,14779.44,2
TXN_0638,INV_0638,103861.33,7
TXN_0639,INV_0639,130661.78,3
TXN_0640,INV_0640,20469.35,-5
TXN_0641,INV_0641,129113.54,-1
TXN_0642,INV_0642,92453.22,-3
TXN_0643,INV_0643,87803.83,5
TXN_0644,INV_0644,2477.74,0
TXN_0645,INV_0645,113214.63,-3
TXN_0646,INV_0646,140852.52,2
TXN_0647,INV_0647,4228.1,0
TXN_0648,INV_0648,105253.97,-3
TXN_0649,INV_0649,17030.83,-4
TXN_0650,INV_0650,36464.58,-2
TXN_0651,INV_0651,111028.14,2
TXN_0652,INV_0652,6795.58,-3
TXN_0653,INV_0653,119998.52,2
TXN_0654,INV_0654,57416.98,0
TXN_0655,INV_0655,42635.88,-5
TXN_0656,INV_0656,56178.83,42
TXN_0657,INV_0657,105182.08,4
TXN_0658,INV_0658,146372.1,51
TXN_0659,INV_0659,28124.71,-5
TXN_0660,INV_0660,24088.43,7
TXN_0661,INV_0661,85190.18,4
TXN_0662,INV_0662,89689.95,-4
TXN_0663,INV_0663,3067.47,49
TXN_0664,INV_0664,14807.69,1019
TXN_0666,INV_0666,127157.73,4
TXN_0667,INV_0667,147172.64,1
TXN_0668,INV_0668,5082.87,5
TXN_0669,INV_0669,14056.27,-3
TXN_0670,INV_0670,140299.44,5
TXN_0671,INV_0671,91343.71,-1
TXN_0672,INV_0672,21332.0,-4
TXN_0673,INV_0673,81497.3,1
TXN_0675,INV_0675,69766.01,0
TXN_0676,INV_0676,148972.45,-1
TXN_0677,INV_0677,93996.25,-5
TXN_0678,INV_0678,48705.8,7
TXN_0679,INV_0679,132693.39,3
TXN_0680,INV_0680,37639.77,-3
TXN_0681,INV_0681,36553.57,17
TXN_0682,INV_0682,136353.81,4
TXN_0683,INV_0683,116605.06,52
TXN_0684,INV_0684,135518.13,22
TXN_0685,INV_0685,121449.36,5
TXN_0686,INV_0686,2582.42,759
TXN_0687,INV_0687,118103.08,21
TXN_0688,INV_0688,76924.3,48
TXN_0689,INV_0689,126217.58,1
TXN_0690,INV_0690,16493.45,26
TXN_0691,INV_0691,31673.46,56
TXN_0692,INV_0692,133754.94,-5
TXN_0693,INV_0693,106391.75,-5
TXN_0694,INV_0694,100725.07,50
TXN_0695,INV_0695,137549.78,-2
TXN_0696,INV_0696,66254.4,2
TXN_0697,INV_0697,145469.52,5
TXN_0698,INV_0698,23846.06,5
TXN_0699,INV_0699,55343.56,1
TXN_0700,INV_0700,42257.43,10
TXN_0701,INV_0701,50755.21,5
TXN_0702,INV_0702,57977.04,50
TXN_0703,INV_0703,65639.01,-2
TXN_0704,INV_0704,39609.33,3
TXN_0705,INV_0705,102303.64,5
TXN_0706,INV_0706,80523.5,3
TXN_0707,INV_0707,121567.83,-3
TXN_0708,INV_0708,111636.58,45
TXN_0709,INV_0709,53873.26,-1
