invoice_id,exporter_id,importer_country,invoice_amount,invoice_date,due_date,payment_date,status
INV_0040,EXP_045,UK,35021.36,2023-05-31,2023-06-30,2023-08-25,Paid Late
INV_0041,EXP_026,Germany,83056.38,2025-08-23,2025-11-21,2025-11-18,Paid
INV_0042,EXP_017,Canada,53485.09,2023-05-13,2023-07-12,2023-07-10,Paid
INV_0043,EXP_042,UK,35408.85,2024-01-14,2024-02-28,2024-02-27,Paid
INV_0044,EXP_012,Canada,130725.32,2026-01-09,2026-03-10,2026-04-01,Paid Late
INV_0045,EXP_009,USA,90852.39,2023-12-05,2024-01-04,2023-12-31,Paid
INV_0046,EXP_034,Singapore,137921.9,2024-12-17,2025-02-15,2025-02-17,Paid
INV_0047,EXP_038,France,79897.81,2025-12-10,2026-01-09,2026-03-10,Paid Late
INV_0048,EXP_036,UAE,128119.19,2023-04-02,2023-05-02,,Overdue
INV_0049,EXP_035,Singapore,98811.66,2025-04-12,2025-05-12,2025-05-15,Paid
INV_0050,EXP_004,France,93721.31,2025-10-03,2026-01-01,2025-12-27,Paid
INV_0051,EXP_049,USA,44789.71,2024-03-12,2024-04-26,2024-04-23,Paid
INV_0052,EXP_024,Canada,35613.65,2023-07-09,2023-08-23,2023-08-21,Paid
INV_0053,EXP_034,France,94754.56,2024-06-14,2024-09-12,2024-09-13,Paid
INV_0054,EXP_027,UK,79060.83,2024-11-23,2025-01-22,2025-03-16,Paid Late
INV_0055,EXP_039,UK,67041.64,2025-02-04,2025-05-05,2025-06-19,Paid Late
INV_0056,EXP_029,USA,8935.98,2024-03-07,2024-05-06,2024-05-08,Paid
INV_0057,EXP_037,UK,16264.06,2023-06-03,2023-07-03,2023-06-29,Paid
INV_0058,EXP_012,France,61278.82,2025-08-27,2025-09-26,2025-09-24,Paid
INV_0059,EXP_033,Singapore,134432.22,2024-09-19,2024-10-19,2024-12-08,Paid Late
INV_0060,EXP_008,USA,93379.27,2024-02-15,2024-05-15,2024-05-19,Paid
INV_0061,EXP_010,UK,131152.43,2025-03-11,2025-04-25,2025-04-24,Paid
INV_0062,EXP_004,Singapore,94340.21,2023-07-30,2023-09-28,2023-09-29,Paid
INV_0063,EXP_001,Canada,70502.38,2023-01-04,2023-04-04,2023-04-01,Paid
INV_0064,EXP_010,France,27027.22,2024-06-30,2024-08-14,2024-08-12,Paid
INV_0065,EXP_039,France,12025.02,2023-10-06,2024-01-04,2024-01-31,Paid Late
INV_0066,EXP_006,UK,116720.24,2023-08-19,2023-09-18,2023-09-18,Paid
INV_0067,EXP_014,Germany,51465.16,2024-08-15,2024-11-13,2024-11-14,Paid
INV_0068,EXP_043,Canada,131983.47,2025-09-27,2025-10-27,2025-10-25,Paid
INV_0069,EXP_019,USA,53861.91,2023-04-26,2023-06-25,2023-08-16,Paid Late
INV_0070,EXP_050,UAE,118629.5,2026-01-25,2026-03-26,2026-05-16,Paid Late
INV_0071,EXP_012,Singapore,98649.57,2024-05-12,2024-06-11,2024-06-16,Paid
INV_0072,EXP_007,UK,100729.66,2025-04-28,2025-06-12,2025-06-16,Paid
INV_0073,EXP_028,France,114926.2,2024-06-30,2024-09-28,2024-11-09,Paid Late
INV_0074,EXP_036,UAE,135679.93,2023-11-11,2023-12-26,2024-01-15,Paid Late
INV_0075,EXP_017,UK,99683.55,2026-01-24,2026-04-24,2026-04-19,Paid
INV_0076,EXP_045,Canada,7467.27,2025-05-10,2025-06-24,2025-08-03,Paid Late
INV_0077,EXP_032,UAE,38411.03,2024-10-14,2025-01-12,2025-01-13,Paid
INV_0078,EXP_032,UK,95232.74,2023-04-09,2023-07-08,2023-07-07,Paid
INV_0079,EXP_045,Germany,59643.33,2023-04-01,2023-06-30,2023-07-01,Paid
INV_0080,EXP_050,Germany,73145.81,2024-12-14,2025-01-13,2025-02-27,Paid Late
INV_0081,EXP_021,UK,106038.78,2024-03-06,2024-04-20,2024-05-25,Paid Late
INV_0082,EXP_003,Canada,96103.6,2023-07-14,2023-08-13,2023-08-12,Paid
INV_0083,EXP_048,Germany,115832.49,2023-08-15,2023-11-13,,Defaulted
INV_0084,EXP_010,Canada,143615.39,2025-09-21,2025-11-05,2025-11-20,Paid Late
INV_0085,EXP_004,USA,87920.43,2024-07-19,2024-10-17,2024-10-12,Paid
INV_0086,EXP_036,Canada,79443.15,2023-10-15,2023-11-14,2023-11-28,Paid Late
INV_0087,EXP_012,UAE,141774.29,2025-12-08,2026-01-07,2026-01-04,Paid
INV_0088,EXP_032,UK,62281.32,2023-05-11,2023-08-09,2023-09-27,Paid Late
INV_0089,EXP_005,USA,43950.39,2024-01-15,2024-02-14,2024-02-16,Paid
INV_0090,EXP_020,Canada,112093.92,2024-05-11,2024-06-10,,Overdue
INV_0091,EXP_036,Singapore,102708.44,2025-05-29,2025-06-28,2025-08-10,Paid Late
INV_0092,EXP_015,UK,13567.84,2023-09-26,2023-10-26,2023-10-23,Paid
INV_0093,EXP_016,Singapore,76233.08,2023-08-21,2023-09-20,2023-09-16,Paid
INV_0094,EXP_039,USA,106780.38,2025-01-17,2025-03-18,2025-03-21,Paid
INV_0095,EXP_042,Canada,11928.53,2023-01-21,2023-02-20,2023-04-17,Paid Late
INV_0096,EXP_038,France,56463.81,2026-01-26,2026-02-25,2026-03-02,Paid
INV_0097,EXP_037,Canada,124478.54,2023-10-11,2024-01-09,,Defaulted
INV_0098,EXP_025,UK,60483.25,2025-09-08,2025-10-23,2025-10-24,Paid
INV_0099,EXP_032,UK,142679.76,2025-02-09,2025-03-11,2025-04-05,Paid Late
INV_0100,EXP_050,UAE,32652.85,2025-12-28,2026-02-26,2026-04-13,Paid Late
INV_0101,EXP_025,USA,15055.85,2024-10-22,2025-01-20,2025-01-18,Paid
INV_0102,EXP_026,Canada,116862.54,2024-01-22,2024-04-21,2024-04-17,Paid
INV_0103,EXP_043,Canada,133211.36,2024-11-27,2024-12-27,2025-02-17,Paid Late
INV_0104,EXP_001,USA,40902.07,2024-02-25,2024-03-26,2024-03-24,Paid
INV_0105,EXP_019,Singapore,64103.9,2024-02-25,2024-05-25,2024-05-25,Paid
INV_0106,EXP_043,France,75371.23,2024-02-06,2024-05-06,2024-05-02,Paid
INV_0107,EXP_043,UAE,20635.33,2024-11-22,2025-01-06,2025-02-07,Paid Late
INV_0108,EXP_040,Singapore,147305.75,2025-09-27,2025-11-11,2025-11-07,Paid
INV_0109,EXP_012,UK,139302.03,2025-04-21,2025-07-20,2025-07-24,Paid
INV_0110,EXP_007,USA,57709.16,2024-10-02,2024-12-31,2024-12-28,Paid
INV_0111,EXP_042,France,129300.92,2024-08-26,2024-09-25,2024-09-22,Paid
INV_0112,EXP_040,UAE,42566.32,2024-06-14,2024-08-13,2024-09-19,Paid Late
INV_0113,EXP_041,UK,108787.82,2024-04-13,2024-06-12,2024-06-07,Paid
INV_0114,EXP_026,Germany,146667.83,2024-09-14,2024-10-29,2024-11-03,Paid
INV_0115,EXP_050,France,75845.05,2023-05-25,2023-07-09,2023-07-06,Paid
INV_0116,EXP_035,Canada,140484.33,2023-03-12,2023-04-26,2023-04-23,Paid
INV_0117,EXP_024,France,113062.67,2024-05-16,2024-07-15,2024-07-18,Paid
INV_0118,EXP_005,UK,120172.18,2025-02-10,2025-04-11,,Defaulted
INV_0119,EXP_041,UAE,119931.37,2024-12-15,2025-02-13,2025-04-10,Paid Late
INV_0120,EXP_037,Germany,142616.79,2026-01-31,2026-04-01,2026-04-02,Paid
INV_0121,EXP_026,Singapore,77234.59,2024-02-09,2024-04-09,2024-04-07,Paid
INV_0122,EXP_035,Germany,36835.51,2025-08-10,2025-09-24,2025-09-27,Paid
INV_0123,EXP_037,France,97684.95,2025-08-20,2025-09-19,2025-10-09,Paid Late
INV_0124,EXP_001,France,115924.27,2024-10-16,2025-01-14,2025-03-06,Paid Late
INV_0125,EXP_033,Singapore,148603.99,2024-11-02,2025-01-31,2025-01-27,Paid
INV_0126,EXP_033,UAE,60540.82,2023-12-18,2024-03-17,2024-03-15,Paid
INV_0127,EXP_039,Canada,28452.16,2023-11-12,2023-12-12,2023-12-10,Paid
INV_0128,EXP_047,Canada,113935.42,2023-11-26,2024-01-25,2024-01-27,Paid
INV_0129,EXP_043,Canada,18164.55,2023-12-31,2024-01-30,2024-03-15,Paid Late
INV_0130,EXP_033,France,115161.37,2023-12-30,2024-01-29,2024-01-28,Paid
INV_0131,EXP_011,France,81239.88,2024-05-13,2024-07-12,2024-07-15,Paid
INV_0132,EXP_010,Singapore,97044.89,2023-03-14,2023-04-28,2023-05-02,Paid
INV_0133,EXP_035,Germany,147337.85,2023-11-08,2023-12-23,2023-12-28,Paid
INV_0134,EXP_037,UAE,149809.13,2023-06-03,2023-07-18,2023-07-23,Paid
INV_0135,EXP_025,Singapore,71073.14,2023-10-05,2024-01-03,2024-01-06,Paid
INV_0136,EXP_039,France,123996.88,2024-08-03,2024-10-02,2024-09-29,Paid
INV_0137,EXP_017,USA,119306.85,2025-11-24,2026-01-23,2026-01-18,Paid
INV_0138,EXP_038,UK,122784.01,2023-07-13,2023-08-27,2023-08-30,Paid
INV_0139,EXP_004,France,110822.74,2024-11-18,2025-02-16,2025-02-20,Paid
INV_0140,EXP_038,France,14652.59,2024-11-12,2025-02-10,2025-03-30,Paid Late
INV_0141,EXP_001,UK,89190.4,2025-05-07,2025-06-21,2025-06-26,Paid
INV_0142,EXP_035,UAE,73695.44,2025-09-06,2025-12-05,2025-12-09,Paid
INV_0143,EXP_009,Singapore,56038.15,2024-12-01,2025-01-30,2025-01-30,Paid
INV_0144,EXP_037,UK,117008.74,2025-10-19,2025-12-03,2025-12-08,Paid
INV_0145,EXP_015,Singapore,87683.49,2026-01-12,2026-03-13,2026-05-04,Paid Late
INV_0146,EXP_021,UK,145528.85,2024-08-18,2024-10-02,2024-10-05,Paid
INV_0147,EXP_045,Canada,56297.86,2025-07-22,2025-09-05,2025-09-05,Paid
INV_0148,EXP_048,France,43963.5,2023-06-05,2023-08-04,2023-08-02,Paid
INV_0149,EXP_009,UAE,57693.73,2025-05-24,2025-06-23,,Defaulted
INV_0150,EXP_039,Germany,96928.57,2025-03-02,2025-04-16,2025-04-14,Paid
INV_0151,EXP_039,UK,76368.07,2025-12-14,2026-01-13,2026-01-18,Paid
INV_0152,EXP_021,Canada,15417.47,2023-05-17,2023-07-16,2023-07-13,Paid
INV_0153,EXP_028,Canada,20224.64,2025-02-05,2025-05-06,2025-05-07,Paid
INV_0154,EXP_045,Canada,63698.7,2025-12-08,2026-01-22,2026-01-21,Paid
INV_0155,EXP_002,UK,98664.63,2026-02-03,2026-05-04,2026-05-31,Paid Late
INV_0156,EXP_002,UK,124240.83,2024-08-12,2024-09-11,2024-09-13,Paid
INV_0157,EXP_036,UK,99312.54,2024-09-28,2024-11-12,2024-11-10,Paid
INV_0158,EXP_040,Canada,127680.21,2023-05-14,2023-08-12,2023-08-17,Paid
INV_0159,EXP_021,USA,113684.25,2025-05-10,2025-07-09,2025-07-08,Paid
INV_0160,EXP_026,UK,60199.29,2024-10-24,2024-12-23,,Defaulted
INV_0161,EXP_043,USA,54896.41,2025-06-25,2025-09-23,,Overdue
INV_0162,EXP_005,Canada,73719.75,2023-04-18,2023-06-02,2023-06-03,Paid
INV_0163,EXP_029,UK,78575.98,2025-01-17,2025-04-17,2025-05-18,Paid Late
INV_0164,EXP_001,Singapore,51946.39,2025-11-09,2025-12-24,2025-12-22,Paid
INV_0165,EXP_020,UAE,41846.95,2025-09-18,2025-11-17,2025-11-20,Paid
INV_0166,EXP_031,Singapore,71001.98,2023-05-21,2023-07-05,2023-07-02,Paid
INV_0167,EXP_007,UK,55782.67,2023-09-06,2023-12-05,2024-02-01,Paid Late
INV_0168,EXP_041,UK,142241.05,2023-08-23,2023-10-22,,Defaulted
INV_0169,EXP_035,France,137007.95,2024-07-12,2024-08-26,2024-08-26,Paid
INV_0170,EXP_040,UAE,149698.54,2023-09-05,2023-11-04,2023-11-04,Paid
INV_0171,EXP_045,Canada,22431.53,2023-09-07,2023-10-22,2023-10-22,Paid
INV_0172,EXP_009,Germany,33547.28,2025-10-01,2025-12-30,2025-12-30,Paid
INV_0173,EXP_048,USA,108094.02,2024-09-17,2024-12-16,2024-12-20,Paid
INV_0174,EXP_005,UK,37793.78,2025-08-09,2025-10-08,2025-10-03,Paid
INV_0175,EXP_001,France,130993.06,2025-08-23,2025-09-22,2025-09-25,Paid
INV_0176,EXP_002,USA,143455.09,2025-06-03,2025-07-03,2025-08-08,Paid Late
INV_0177,EXP_013,Canada,63126.89,2023-04-03,2023-06-02,2023-06-06,Paid
INV_0178,EXP_009,Canada,61355.27,2024-07-21,2024-08-20,2024-09-29,Paid Late
INV_0179,EXP_020,Canada,121455.02,2024-11-02,2025-01-01,2025-01-06,Paid
INV_0180,EXP_032,USA,56805.07,2024-12-10,2025-03-10,,Overdue
INV_0181,EXP_030,UAE,33838.04,2025-07-29,2025-10-27,2025-10-27,Paid
INV_0182,EXP_014,UAE,89492.33,2024-01-09,2024-02-08,2024-02-03,Paid
INV_0183,EXP_025,Singapore,72069.55,2023-03-18,2023-04-17,,Defaulted
INV_0184,EXP_004,Singapore,83785.44,2024-11-14,2025-02-12,2025-02-11,Paid
INV_0185,EXP_003,Singapore,128966.04,2024-03-24,2024-06-22,2024-06-22,Paid
INV_0186,EXP_006,Singapore,127501.38,2024-09-07,2024-10-07,2024-10-09,Paid
INV_0187,EXP_040,Canada,27747.09,2025-10-14,2026-01-12,2026-01-15,Paid
INV_0188,EXP_003,France,32105.26,2025-06-07,2025-07-07,2025-07-02,Paid
INV_0189,EXP_012,Germany,72448.88,2025-08-16,2025-11-14,2025-12-07,Paid Late
INV_0190,EXP_031,Singapore,146117.06,2025-11-05,2026-02-03,2026-02-07,Paid
INV_0191,EXP_030,UAE,118776.21,2023-02-25,2023-05-26,2023-05-22,Paid
INV_0192,EXP_004,UK,12276.94,2024-04-29,2024-05-29,2024-06-01,Paid
INV_0193,EXP_019,Canada,82435.35,2026-01-09,2026-02-08,2026-02-09,Paid
INV_0194,EXP_048,Canada,134614.98,2023-09-09,2023-12-08,2024-01-11,Paid Late
INV_0195,EXP_047,France,75550.16,2023-03-18,2023-05-02,2023-05-04,Paid
INV_0196,EXP_046,Canada,78261.57,2023-11-18,2024-01-02,2024-01-03,Paid
INV_0197,EXP_033,Germany,75146.05,2025-05-19,2025-07-03,2025-07-05,Paid
INV_0198,EXP_004,Singapore,100743.25,2024-09-22,2024-11-06,,Overdue
INV_0199,EXP_001,USA,86380.57,2023-08-29,2023-11-27,2023-11-25,Paid
INV_0200,EXP_019,Canada,60343.65,2025-04-25,2025-07-24,2025-07-20,Paid
INV_0201,EXP_003,Singapore,8519.7,2025-04-22,2025-05-22,2025-07-12,Paid Late
INV_0202,EXP_036,Canada,17800.31,2023-12-15,2024-03-14,2024-03-12,Paid
INV_0203,EXP_010,France,32666.04,2025-09-12,2025-10-12,2025-10-15,Paid
INV_0204,EXP_028,USA,142951.46,2023-02-23,2023-04-09,,Overdue
INV_0205,EXP_041,Germany,146444.14,2024-04-22,2024-06-06,2024-06-07,Paid
INV_0206,EXP_043,Canada,26948.65,2023-04-30,2023-06-14,2023-06-17,Paid
INV_0207,EXP_020,Canada,73604.59,2025-08-15,2025-10-14,2025-10-10,Paid
INV_0208,EXP_001,Canada,110397.12,2024-12-21,2025-02-19,2025-02-19,Paid
INV_0209,EXP_016,Singapore,89079.66,2025-11-23,2026-01-07,2026-02-03,Paid Late
INV_0210,EXP_045,Germany,65081.28,2023-12-21,2024-03-20,2024-03-15,Paid
INV_0211,EXP_049,UK,30384.74,2025-10-01,2025-10-31,2025-12-23,Paid Late
INV_0212,EXP_007,Canada,26598.81,2024-04-02,2024-07-01,2024-06-27,Paid
INV_0213,EXP_046,France,67875.22,2023-08-20,2023-09-19,2023-09-16,Paid
INV_0214,EXP_003,Germany,38255.84,2023-12-30,2024-02-13,2024-02-16,Paid
INV_0215,EXP_025,Germany,47428.21,2023-06-21,2023-08-20,2023-08-22,Paid
INV_0216,EXP_028,USA,96498.77,2023-11-25,2024-01-24,2024-01-28,Paid
INV_0217,EXP_028,Singapore,126865.46,2023-02-06,2023-05-07,2023-05-11,Paid
INV_0218,EXP_049,UK,72556.68,2024-07-15,2024-10-13,2024-10-26,Paid Late
INV_0219,EXP_015,USA,70262.57,2023-07-25,2023-09-08,2023-09-05,Paid
INV_0220,EXP_045,UK,66291.41,2024-12-02,2025-01-31,2025-01-30,Paid
INV_0221,EXP_015,Singapore,115084.64,2023-11-06,2024-01-05,2024-01-08,Paid
INV_0222,EXP_032,UAE,8076.34,2023-12-21,2024-01-20,2024-01-17,Paid
INV_0223,EXP_008,Germany,70759.72,2023-01-13,2023-04-13,2023-04-09,Paid
INV_0224,EXP_020,USA,100435.03,2025-03-15,2025-06-13,2025-06-11,Paid
INV_0225,EXP_039,UAE,73012.17,2024-01-20,2024-03-05,2024-03-21,Paid Late
INV_0226,EXP_024,France,111122.45,2025-02-08,2025-03-25,2025-03-21,Paid
INV_0227,EXP_025,Singapore,92142.36,2023-10-11,2023-12-10,2023-12-10,Paid
INV_0228,EXP_012,Germany,144450.44,2024-03-14,2024-05-13,2024-06-01,Paid Late
INV_0229,EXP_004,UK,25317.09,2024-07-02,2024-08-16,2024-08-20,Paid
INV_0230,EXP_044,Germany,11047.72,2025-12-30,2026-02-28,2026-03-02,Paid
INV_0231,EXP_009,France,13981.61,2024-09-10,2024-12-09,2024-12-09,Paid
INV_0232,EXP_018,Germany,67927.24,2025-08-21,2025-10-05,2025-10-10,Paid
INV_0233,EXP_008,Canada,126101.5,2023-05-01,2023-07-30,2023-08-16,Paid Late
INV_0234,EXP_032,Germany,83083.95,2024-08-07,2024-11-05,2024-11-03,Paid
INV_0235,EXP_049,Germany,115092.84,2023-05-05,2023-06-04,2023-06-05,Paid
INV_0236,EXP_011,UK,96959.13,2024-07-27,2024-09-10,2024-09-25,Paid Late
INV_0237,EXP_012,UAE,103879.47,2025-02-14,2025-05-15,2025-05-20,Paid
INV_0238,EXP_031,France,131418.27,2023-10-10,2024-01-08,2024-01-12,Paid
INV_0239,EXP_043,Canada,110831.88,2025-12-29,2026-02-27,2026-03-03,Paid
INV_0240,EXP_013,Germany,95519.95,2023-02-09,2023-04-10,2023-06-09,Paid Late
INV_0241,EXP_037,Germany,93048.95,2023-12-27,2024-02-10,2024-03-11,Paid Late
INV_0242,EXP_026,USA,47052.12,2023-03-07,2023-05-06,2023-05-20,Paid Late
INV_0243,EXP_020,Germany,83718.57,2025-07-07,2025-08-06,2025-08-06,Paid
INV_0244,EXP_007,France,99204.95,2025-06-03,2025-09-01,2025-08-29,Paid
INV_0245,EXP_039,Germany,106695.31,2024-11-14,2025-02-12,2025-02-16,Paid
INV_0246,EXP_016,UK,118436.73,2023-08-30,2023-09-29,2023-09-24,Paid
INV_0247,EXP_007,France,119724.5,2023-02-22,2023-05-23,2023-05-18,Paid
INV_0248,EXP_003,USA,145261.93,2026-02-06,2026-05-07,2026-05-24,Paid Late
INV_0249,EXP_005,USA,76789.93,2023-01-13,2023-04-13,2023-05-28,Paid Late
INV_0250,EXP_023,France,147926.48,2024-01-25,2024-02-24,2024-02-26,Paid
INV_0251,EXP_044,Germany,121171.43,2023-07-11,2023-08-25,2023-08-24,Paid
INV_0252,EXP_032,Canada,58272.71,2023-11-19,2024-01-18,2024-01-22,Paid
INV_0253,EXP_038,Canada,5959.57,2024-04-24,2024-07-23,2024-07-20,Paid
INV_0254,EXP_042,UK,128727.95,2025-07-15,2025-08-29,2025-10-11,Paid Late
INV_0255,EXP_003,Canada,38748.11,2025-05-11,2025-06-25,2025-06-24,Paid
INV_0256,EXP_020,UAE,25214.6,2024-06-11,2024-07-11,2024-07-15,Paid
INV_0257,EXP_021,UAE,99702.17,2024-10-29,2024-12-13,2024-12-08,Paid
INV_0258,EXP_024,France,148042.99,2025-04-02,2025-06-01,2025-06-06,Paid
INV_0259,EXP_039,Singapore,73933.03,2024-04-11,2024-06-10,2024-06-12,Paid
INV_0260,EXP_003,Germany,67588.78,2023-08-06,2023-10-05,2023-10-06,Paid
INV_0261,EXP_018,UAE,116062.63,2023-09-16,2023-10-16,2023-10-13,Paid
INV_0262,EXP_005,France,39986.12,2024-12-10,2025-01-09,2025-01-05,Paid
INV_0263,EXP_043,France,140245.35,2024-05-18,2024-07-17,2024-08-05,Paid Late
INV_0264,EXP_007,Singapore,10525.35,2024-04-03,2024-07-02,,Defaulted
INV_0265,EXP_007,UK,123537.78,2024-07-12,2024-10-10,2024-10-13,Paid
INV_0266,EXP_014,Germany,117295.36,2024-07-26,2024-09-09,2024-09-13,Paid
INV_0267,EXP_004,France,56473.49,2024-04-10,2024-05-25,2024-05-28,Paid
INV_0268,EXP_030,UAE,84937.42,2023-03-02,2023-04-01,2023-05-20,Paid Late
INV_0269,EXP_003,Canada,23094.36,2023-11-22,2024-02-20,2024-02-22,Paid
INV_0270,EXP_031,Germany,114250.86,2025-02-28,2025-04-29,2025-06-13,Paid Late
INV_0271,EXP_011,Canada,139876.82,2024-06-10,2024-08-09,2024-08-08,Paid
INV_0272,EXP_015,Canada,114237.56,2025-12-06,2026-03-06,2026-03-01,Paid
INV_0273,EXP_007,UAE,88011.8,2024-09-11,2024-11-10,,Defaulted
INV_0274,EXP_045,UK,134703.01,2025-03-25,2025-05-24,2025-05-22,Paid
INV_0275,EXP_010,Singapore,57752.59,2026-01-19,2026-03-20,2026-03-23,Paid
INV_0276,EXP_002,France,53760.86,2023-12-24,2024-03-23,2024-04-19,Paid Late
INV_0277,EXP_018,UK,146190.93,2024-09-08,2024-10-23,2024-10-20,Paid
INV_0278,EXP_045,Canada,12558.66,2024-06-15,2024-07-15,2024-07-16,Paid
INV_0279,EXP_014,Germany,40693.36,2025-06-22,2025-08-21,2025-08-24,Paid
INV_0280,EXP_044,Singapore,46416.58,2024-09-05,2024-10-20,2024-10-24,Paid
INV_0281,EXP_002,UK,131913.33,2024-10-11,2024-12-10,2024-12-10,Paid
INV_0282,EXP_017,Germany,98552.27,2023-02-24,2023-04-10,2023-04-10,Paid
INV_0283,EXP_019,UK,57027.41,2024-03-08,2024-04-07,2024-04-23,Paid Late
INV_0284,EXP_023,UAE,107374.44,2025-12-24,2026-02-07,2026-02-06,Paid
INV_0285,EXP_022,France,66789.78,2024-06-02,2024-08-01,2024-08-05,Paid
INV_0286,EXP_030,Canada,8470.57,2024-10-29,2025-01-27,2025-01-24,Paid
INV_0287,EXP_025,USA,66493.56,2024-11-11,2025-01-10,2025-01-05,Paid
INV_0288,EXP_026,UK,15389.53,2024-06-25,2024-07-25,2024-08-25,Paid Late
INV_0289,EXP_023,France,106611.99,2025-05-07,2025-08-05,2025-08-31,Paid Late
INV_0290,EXP_048,Canada,120257.0,2026-01-12,2026-02-26,2026-02-21,Paid
INV_0291,EXP_038,Canada,93535.82,2024-04-02,2024-05-17,2024-06-06,Paid Late
INV_0292,EXP_025,UK,122523.01,2025-05-17,2025-06-16,2025-07-08,Paid Late
INV_0293,EXP_035,Germany,137501.36,2024-07-13,2024-08-12,2024-08-15,Paid
INV_0294,EXP_010,Germany,53407.46,2023-06-12,2023-09-10,,Overdue
INV_0295,EXP_011,UK,44140.88,2025-11-21,2025-12-21,2025-12-26,Paid
INV_0296,EXP_041,UK,100696.5,2024-05-11,2024-08-09,2024-08-10,Paid
INV_0297,EXP_014,France,40865.53,2024-01-02,2024-02-16,2024-02-19,Paid
INV_0298,EXP_032,UAE,111416.01,2024-04-20,2024-06-04,2024-05-30,Paid
INV_0299,EXP_002,UK,102959.63,2024-01-19,2024-03-19,2024-03-22,Paid
INV_0300,EXP_010,UAE,85504.09,2023-01-28,2023-02-27,2023-02-25,Paid
INV_0301,EXP_013,UK,49171.31,2024-05-20,2024-06-19,,Defaulted
INV_0302,EXP_032,France,120663.19,2023-03-11,2023-05-10,2023-06-12,Paid Late
INV_0303,EXP_036,Singapore,146171.61,2023-01-08,2023-03-09,,Defaulted
INV_0304,EXP_031,UAE,41756.88,2023-05-24,2023-06-23,2023-06-28,Paid
