exporter_id,company_age,industry,country,total_invoices,avg_invoice_amount,invoice_amount_std,avg_payment_delay,total_delayed_invoices,total_defaulted_invoices,delay_rate,default_rate
EXP_020,34,Electronics,India,18,81424.74555555555,42172.56385221463,34.611111111111114,7,1,0.3888888888888889,0.05555555555555555
EXP_021,40,Agriculture,Turkey,21,75348.49238095239,43492.24320147478,4.238095238095238,13,1,0.6190476190476191,0.047619047619047616
EXP_022,37,Agriculture,Turkey,25,76173.30040000001,44337.50234779671,96.52,17,3,0.68,0.12
EXP_023,4,Machinery,Bangladesh,28,76527.4542857143,44292.31892173994,138.89285714285714,17,4,0.6071428571428571,0.14285714285714285
EXP_024,39,Pharmaceuticals,India,19,86675.5247368421,49547.53057365281,157.21052631578948,13,4,0.6842105263157895,0.21052631578947367
EXP_025,30,Pharmaceuticals,Turkey,22,68812.88454545454,35545.87676911691,56.04545454545455,12,1,0.5454545454545454,0.045454545454545456
EXP_026,18,Autos,Bangladesh,24,77134.95041666667,43579.01423148627,64.125,15,2,0.625,0.08333333333333333
EXP_027,18,Agriculture,Vietnam,17,88181.75764705881,36438.28418329812,60.11764705882353,8,1,0.47058823529411764,0.058823529411764705
EXP_028,30,Machinery,Bangladesh,19,97113.4847368421,46719.000958321536,83.57894736842105,11,2,0.5789473684210527,0.10526315789473684
EXP_029,40,Autos,India,12,73141.99333333333,35810.88921282396,101.25,11,1,0.9166666666666666,0.08333333333333333
EXP_030,1,Pharmaceuticals,India,20,78280.6345,47539.391836893315,52.5,12,2,0.6,0.1
EXP_031,3,Pharmaceuticals,China,19,86220.19947368422,45269.70762242495,2.473684210526316,10,0,0.5263157894736842,0.0
EXP_032,32,Pharmaceuticals,Vietnam,21,83996.66476190476,44786.16646580299,28.714285714285715,14,1,0.6666666666666666,0.047619047619047616
EXP_033,8,Pharmaceuticals,Vietnam,21,77187.87238095238,37749.6132004557,71.0,13,2,0.6190476190476191,0.09523809523809523
EXP_034,30,Agriculture,India,13,77337.41692307692,54134.3071290447,55.46153846153846,10,1,0.7692307692307693,0.07692307692307693
EXP_035,44,Pharmaceuticals,Mexico,27,92671.33777777778,40735.50672134733,49.51851851851852,15,2,0.5555555555555556,0.07407407407407407
EXP_036,13,Agriculture,India,30,84844.64666666667,35660.93326039298,99.1,17,4,0.5666666666666667,0.13333333333333333
EXP_037,48,Textiles,Vietnam,22,74472.44045454545,47796.578266122226,70.45454545454545,13,3,0.5909090909090909,0.13636363636363635
EXP_038,41,Textiles,Mexico,17,82216.15705882352,38978.85711717664,55.64705882352941,13,2,0.7647058823529411,0.11764705882352941
EXP_039,15,Autos,China,24,73252.7925,34938.236298443204,40.833333333333336,14,1,0.5833333333333334,0.041666666666666664
EXP_040,19,Textiles,Vietnam,16,96190.419375,46845.5331253861,2.375,8,0,0.5,0.0
EXP_041,18,Textiles,Bangladesh,17,83376.89941176471,47653.17895749762,119.17647058823529,12,2,0.7058823529411765,0.11764705882352941
EXP_042,20,Machinery,Turkey,20,75232.486,48268.16903362945,82.05,10,2,0.5,0.1
EXP_043,45,Machinery,Vietnam,20,88290.4335,43248.912296810944,30.0,13,3,0.65,0.15
EXP_044,42,Machinery,India,14,60435.78857142857,40571.775774124035,112.92857142857143,10,2,0.7142857142857143,0.14285714285714285
EXP_045,4,Electronics,Vietnam,18,55695.54277777778,36720.64599154618,46.94444444444444,10,1,0.5555555555555556,0.05555555555555555
EXP_046,21,Textiles,Turkey,19,70746.62789473684,41631.26392737616,103.63157894736842,11,3,0.5789473684210527,0.15789473684210525
EXP_047,42,Agriculture,Mexico,19,92901.92105263157,39478.0853788681,48.05263157894737,14,1,0.7368421052631579,0.05263157894736842
EXP_048,1,Electronics,Vietnam,22,79243.15909090909,38741.319905536926,75.72727272727273,14,2,0.6363636363636364,0.09090909090909091
EXP_049,45,Machinery,Vietnam,17,58847.77352941177,36516.14322465287,65.88235294117646,10,1,0.5882352941176471,0.058823529411764705
EXP_050,14,Agriculture,Vietnam,14,91947.20928571429,35140.32875886807,121.42857142857143,11,2,0.7857142857142857,0.14285714285714285
